Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,22.6,23.8,31.9,19.6,21.2,17.5,17.4,20.9,27.1,17.6,21.3,23.6,23.9,22.6,18.8,29.9,21.1,24.6,19.6,19.1,24.6,25.5,28.1,21.3,17.2,23.2,18.1,29.6,24.7,28.6,24.9,16.6
2,24,25,38,27,30,27,16,6,17,14,27,43,20,20,27,34,16,20,34,11,34,21,34,16,17,17,26,20,38,23,16,27
3,27,32,35.5,29,23.5,22,23,20.5,28.5,17.5,24,42.5,18,24,28.5,28.5,18,28.5,34,19.5,22.5,25.5,29,14.5,15,18,26,25.5,36.5,27,24.5,21
4,25.66666667,30,30.33333333,31,22.66666667,24.66666667,23,25,29.33333333,15,24.66666667,40.66666667,19,28,23.33333333,30.33333333,17.33333333,29.66666667,29.33333333,23.33333333,25,29,29.33333333,12.66666667,12.33333333,19.66666667,26.66666667,29,37,27.33333333,26.66666667,20.66666667
5,24.5,26.5,30.5,30.75,24.75,23.25,25.5,31,31.5,20.5,25.75,38,20,25.75,23.75,29.25,20.75,26.5,27.75,23.25,26.5,24.25,30.75,11.75,16.25,21,26.66666667,26.75,35.5,30,26.66666667,22.25
6,25.6,24.4,29.8,27.8,24.4,22.6,21,31.2,32.6,20.5,25.75,38,22,25.2,21.8,29.8,22,27.2,30.2,27.2,26.4,24.25,30.6,16.2,15,22.6,29.5,24.8,33.8,27.8,30.5,19.8
7,27.66666667,27,29.83333333,26,23,22.66666667,22,27.16666667,28.83333333,20,27.4,32.4,24.33333333,26.16666667,20.83333333,29.16666667,22,25.33333333,30.2,26.66666667,25.83333333,21.8,30.6,16.83333333,12.5,23.5,31.2,24.66666667,33.8,29.5,32.8,19.66666667
8,29,26.28571429,29.83333333,24.85714286,23.14285714,20.85714286,24.14285714,28.57142857,25.14285714,19.33333333,26.66666667,32.83333333,23.71428571,26.16666667,22,31.14285714,24.83333333,25.14285714,28.5,26.66666667,25.83333333,18.66666667,30,17.42857143,12.14285714,23.28571429,30.5,25.85714286,33.83333333,31.71428571,31.83333333,17.28571429
9,29,26.125,29,24.75,22.375,21.125,25,25.75,23.125,21,25.85714286,31.28571429,23.71428571,28.28571429,22,31.625,25.57142857,24.125,26.71428571,26.85714286,26.14285714,19,29.42857143,18.125,11.75,23.25,30.14285714,26,34.28571429,30.875,31.71428571,17.28571429
10,29.25,27,28.375,26.88888889,23.33333333,20.66666667,25,25.75,22.66666667,21.75,25.125,31.625,24.125,26,22.375,31.77777778,25.625,24.125,27.25,27.75,27.125,20.375,30.5,18.66666667,13.44444444,23.25,29.375,25,34.25,27.77777778,30.75,17.625
11,29.55555556,27,27.11111111,27.2,23.3,19.9,23.33333333,24,22.66666667,20.66666667,25.66666667,30.77777778,22.22222222,26.88888889,22.11111111,31.77777778,25.11111111,24,28.33333333,27.88888889,26.22222222,20.66666667,30.11111111,19.5,13.44444444,22.55555556,30.11111111,23.8,32.22222222,29.6,31.11111111,18.66666667
12,28.7,25.2,26.8,27.2,23,19.9,21.9,23.8,23.5,20.6,23.1,30.8,22.7,27.6,20.2,32.1,25.4,24.3,28.6,26.4,26.7,20.6,29.5,19.5,14.9,22,29.8,23.8,31.8,29.09090909,31,17.7
13,27.63636364,26.81818182,25.63636364,27.18181818,23.33333333,20.36363636,21.45454545,24.09090909,22.81818182,19,23.27272727,31.72727273,24.36363636,27.45454545,20.63636364,31.63636364,24.63636364,23.90909091,26.54545455,25.81818182,26.81818182,20.54545455,29.63636364,19.45454545,13.81818182,21.54545455,28.81818182,23.72727273,31,28.66666667,32.27272727,19.81818182
