Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,27.6,24.9,18.2,16.5,29.4,18.6,26.2,24.6,20.1,19.8,26.4,20.7,25.3,23.3,24.8,20.2,21.6,22.8,26.2,30.9,19.4,14.4,21.6,28.2,22.4,21.8,18.9,19.5,24.2,28.1,20.6,27.2
2,20,38,6,17,34,23,16,38,20,16,27,34,34,27,20,20,13,17,30,21,43,11,23,26,27,27,16,24,25,34,14,17
3,17.5,39,11,22.5,32.5,18,25.5,34,29.5,21,34.5,27.5,33.5,19,26.5,20,18,18,27,26,35.5,23,28.5,21.5,29,32,18.5,18.5,27.5,25.5,22,23.5
4,20.33333333,36,18.66666667,25.66666667,27,20.66666667,24.66666667,29.33333333,32.33333333,23.33333333,30.66666667,28.33333333,31.66666667,15,28,20,19,23.66666667,30,21.66666667,34,22,31.33333333,26.33333333,31.33333333,29,19.33333333,15.33333333,28.66666667,20.33333333,24.66666667,27
5,23,34.5,18.25,25,25.5,20.25,24.75,31.5,36.5,24.5,31.75,25.25,31.5,14,29.25,17.5,23.75,20,30,24,31.25,19,30.75,24,32.75,26.75,19.33333333,17.75,27.25,23,24.66666667,28
6,20.4,32.2,15.2,28.4,23.6,20,25.2,29.8,36,24.5,31.75,25.25,28,17.6,29.4,22,25,18,30.4,22.6,30.4,19,30,26.6,32.2,29,21.75,22.8,27,22.2,22.5,28.4
7,18.66666667,30.66666667,17.33333333,28,23.5,19.33333333,26.16666667,31.16666667,36.33333333,22,28.6,27.8,30.33333333,19.16666667,30.16666667,21.16666667,25,19,30.4,18.83333333,32,18.8,30,25.33333333,30.83333333,29.16666667,18.8,21.66666667,27,20.16666667,25.2,27
8,20.85714286,29.57142857,17.33333333,25.42857143,24,20,27.71428571,32,34.71428571,25.5,27.5,26.5,31,19.16666667,31.42857143,20.42857143,25.66666667,17.71428571,32.83333333,18.83333333,32,21.16666667,29,24.85714286,29,28,19.66666667,19.42857143,28.66666667,20.14285714,25.5,23.57142857
9,20.85714286,28,18.85714286,24.875,24.125,20.75,26.75,30,33.25,26.14285714,29.42857143,26.71428571,31,19.42857143,31.42857143,19,26.42857143,19,29,18.57142857,30.57142857,21.57142857,28.14285714,24.875,29.75,25.625,20.28571429,21.625,28.42857143,20.5,26.28571429,23.57142857
10,22.5,27.88888889,17.75,25.88888889,25.11111111,21.11111111,26.75,30,32.22222222,27.125,30,25.5,30.25,20,30.875,20.33333333,27,19,28.625,20.125,29.25,22.25,25,24.33333333,29.77777778,25.625,20.125,23,30.375,22.44444444,25.125,23.5
11,23.33333333,27.88888889,18.33333333,26.3,27.2,20.9,27.77777778,27.44444444,32.22222222,28.22222222,29.66666667,24.88888889,28,19.66666667,30.11111111,20.33333333,27.22222222,18.66666667,26.77777778,20.22222222,27.44444444,21.66666667,23.66666667,23.6,29.77777778,25.77777778,19,23.4,29.55555556,22.5,24.22222222,24.22222222
12,23.8,27.5,19.5,26.3,24.72727273,20.9,27,26.4,31.8,26.7,28.7,25.8,27.7,20.8,29.8,21.4,27.3,19.2,27.6,20.2,27.8,22.2,22.2,23.6,30.2,25.4,17.4,23.4,28.7,22.90909091,24.2,22.7
13,23.45454545,25.54545455,19.45454545,25.45454545,25,22.72727273,26.27272727,26.27272727,32.63636364,27.09090909,29.81818182,25.72727273,27.45454545,23,29.54545455,21.63636364,27.27272727,19.54545455,29,18.63636364,27.72727273,21.72727273,20.45454545,23,29.27272727,25.18181818,17.09090909,23.09090909,27.63636364,23.25,24.36363636,22.09090909
