,PC1,PC2          ,PC3      ,    PC4    ,     PC5
PPG_Combined             ,0.10031262,-0.07321352,-0.115622687,0.051006526,-0.30313641
PPG_Allowed_Combined     ,0.09640395,-0.07251357,-0.095372694,0.067112572,-0.35052702
YPG_Averaged             ,0.52086967,-0.51925801,-0.106339051,0.244753781,0.21073866
YPG_Allowed_Averaged     ,0.49031451,0.54719420,0.253704908,0.231555417,-0.01808364
QBR_Averaged             ,0.12863836,-0.04864367,-0.074695926,0.001251254,-0.47773853
Passer_Rating_Averaged   ,0.12888283,-0.05984168,-0.095491908,-0.015764392,-0.60757211
Passer_Rating_Against_Averaged,0.05008715,0.05796325,0.122265547,0.013456639,0.27302773
Plays_PG_Averaged        ,0.01703546,-0.04010297,0.004053298,0.010593391,0.11718562
Passing_Yards_PG_Averaged,0.44629652,-0.42016665,0.373236988,-0.378996000,0.05721276
Rushing_Yards_PG_Averaged,0.07457316,-0.09909136,-0.479576039,0.623749781,0.15352590
Passing_Yards_Allowed_PG_Averaged,0.47756496,0.46509921,-0.358284472,-0.283795699,0.10894067
Rushing_Yards_Allowed_PG_Averagge,0.01274956,0.08209499,0.611989380,0.515351116,-0.12702431
