Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,281.9,244.9,199.9,196.6,231,222.1,244.8,216.9,223.5,225.6,284.4,225.3,269.2,248.9,236.1,226.9,200.2,226.6,256.7,262.4,227,173.9,240.8,264.1,236.2,246.1,194.6,178.8,256.7,270.1,259.3,238.9
2,243,299,168,202,239,288,207,270,269,247,214,248,203,150,357,242,173,244,259,140,364,182,224,208,98,159,262,224,434,189,216,208
3,221,372,210.5,256.5,228,254,213,277.5,268,274,221.5,233,190,122.5,294,269,231,243,285.5,275.5,283.5,228.5,242.5,188.5,140,208.5,238.5,198.5,415.5,264.5,265.5,243
4,224.6666667,350.3333333,268.6666667,274.6666667,258.3333333,245,210.6666667,253.6666667,277,277.6666667,237,247,199.3333333,132,248,202.6666667,227.6666667,253.3333333,242.3333333,265.6666667,292.3333333,235.3333333,252,234.6666667,133,224.3333333,236,187.3333333,430.6666667,237.6666667,256.3333333,209.3333333
5,237.5,341.5,270,280.25,227,230.25,243,310.5,258,256.25,234.75,247.5,211.5,159.25,261,195,263,229.75,250.25,285,291.75,233.75,236.75,221.5,129,243.5,236,184,401,247.75,256.3333333,208.5
6,222.4,335.8,243,263.2,223,230.8,228.6,296.4,248.6,256.25,234.75,247.5,227,179.6,280.2,225.2,273,197.8,266.8,253.6,271.4,233.75,237.2,232.4,128.6,241,237.5,215.6,370.4,239.8,261,226.8
7,226.5,335.3333333,230.8333333,256.1666667,218.8333333,224.1666667,252.3333333,271.6666667,236.6666667,239.2,234,231.2,246.5,199.6666667,270.6666667,208,273,209.5,266.8,236,286.6666667,219.8,237.2,235.5,125.5,229.6666667,219,212.6666667,370.4,217.6666667,272.8,207
8,247.2857143,333.4285714,230.8333333,232.5714286,227.1428571,222.2857143,261.4285714,288.1428571,229.8571429,230.1666667,248.6666667,240.3333333,251.7142857,199.6666667,281.8571429,211.7142857,253.1666667,212.4285714,283.8333333,236,286.6666667,228.1666667,238.6666667,251.2857143,125.5714286,220.4285714,217.5,203.2857143,368.6666667,225.2857143,272,185.8571429
9,247.2857143,311.375,222.5714286,223.625,232.5,228.5,256.625,264.625,214,236.5714286,248.4285714,227.5714286,251.7142857,213.5714286,281.8571429,201.25,251.7142857,197.125,260.7142857,250.8571429,287.2857143,216.8571429,237.8571429,252.75,116.125,209.375,213.8571429,209,358.7142857,229.125,268.7142857,185.8571429
10,244,310.3333333,223.125,239,246.7777778,218.2222222,256.625,264.625,224.5555556,240.875,243.875,234.375,256.25,206.375,280,215.6666667,240.25,197.125,267.125,252.5,287.875,221.875,231.375,265.2222222,120.8888889,209.375,214.625,218.4444444,362.125,235,275,185.625
11,249.7777778,310.3333333,213.3333333,238.7,255.5,225,265.1111111,252.2222222,224.5555556,231.2222222,258.4444444,225.1111111,241.6666667,198.6666667,283.8888889,215.6666667,232.3333333,199.6666667,264.8888889,243.7777778,267.8888889,224.1111111,231.4444444,257.7,120.8888889,211.7777778,211.3333333,208.9,353.3333333,223.7,277.4444444,194.6666667
12,243,300.3,217,238.7,245.4545455,225,254.7,247.9,232.6,224.8,258.4,230.6,252.4,208.9,282.2,221.6,228.7,201.3,273.6,246.4,260.7,236.1,227.9,257.7,111.7,209.3,203.5,208.9,343.7,237.5454545,267.4,195.4
13,228.5454545,292.5454545,221.4545455,245.7272727,250.5833333,223.7272727,250.9090909,246.7272727,225,211.4545455,263.8181818,231.6363636,256.2727273,210,280,232.8181818,222.1818182,205.9090909,265.5454545,241.9090909,261.2727273,230.0909091,208.2727273,246.6363636,124.9090909,211.1818182,193.1818182,207.9090909,332,256.25,269.9090909,197.1818182
