Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,87.4,92.1,113.3,85.3,99.1,83,95.16666667,78.8,99.7,89.7,106,95.4,98,88.5,91.2,105.3,95.16666667,86.5,100.8,85.5,107.4,94.2,116.3,87.7,84.3,93.1,96.5,102,106.3,88,117.5,76.1
2,78.1,98.5,152.1,104.6,98.8,104.2,66.1,65,92.5,85,77.2,127.5,84.5,88.7,142.3,123.3,75.4,79.4,107.5,44.6,118.6,100.7,96.5,79.2,75.3,72.5,117.8,103,143.1,78.4,97.9,82.5
3,83.2,112.4,133,125.65,91,91.1,78.35,87.8,100.95,78,84.1,117.55,87,93.25,117.5,107.1,84.9,110.75,114.2,72.45,67.25,97.65,93.8,74.05,82.9,64.5,108.25,121.7,137.6,79.35,121.8,85.4
4,79.56666667,97.46666667,113.0333333,126.7333333,98.5,92.46666667,87.4,97.63333333,98.5,80.3,95.73333333,120,94.9,104.0333333,104.6666667,115.9,85.93333333,111.0333333,115.9333333,92.73333333,76.96666667,89.7,105.1333333,68.23333333,70.93333333,63.93333333,105.9333333,98.36666667,135.3,91.5,107.4666667,76.53333333
5,88.85,96.2,111.725,124,98.5,88.45,88.65,98.225,102.1,77.125,95.375,126.875,98.85,99.75,103.775,115.325,98.925,109.05,113.775,85.7,89.5,82.125,107.95,67.6,70.825,68.3,105.9333333,101,129.575,97.875,107.4666667,80
6,91.76,89.68,103.76,114.72,102.66,87.5,84.2,93.12,95.82,77.125,95.375,126.875,100.9,91.9,101.82,108.96,103.68,109.58,116.36,99.46,89.68,82.125,103.88,70.2,73.12,69.78,110.8,97.6,123.8,95.64,112.925,80.7
7,92.08333333,97.5,101.8833333,107.8333333,93.95,84.61666667,83.21666667,86.75,90.81666667,68.68,98.02,108.58,107.2333333,94.15,96.6,112.2,103.68,103.3166667,116.36,98.43333333,90.2,76.02,103.88,70.98333333,69.26666667,72.26666667,108.82,102.05,123.8,97.18333333,114.86,83.46666667
8,93.85714286,98.58571429,101.8833333,105.2857143,98.85714286,82.07142857,87.4,93.72857143,83,66.81666667,97.83333333,112.55,108.2285714,94.15,96.61428571,111.4857143,104.95,104,113.2166667,98.43333333,90.2,69.96666667,106.3,73.97142857,63.81428571,74.95714286,101.9166667,98.82857143,117.2333333,101.4428571,113.2,87.41428571
9,93.85714286,96.9625,96.72857143,100.325,97.0875,83.4,89.8125,89.8125,75.2125,70.75714286,94.4,112.3142857,108.2285714,98.34285714,96.61428571,115.6,102.6857143,99.2375,109.5142857,95.84285714,97.04285714,71.55714286,106.8,74.075,64.6625,73.2375,101.8285714,102.525,118.8142857,102.025,110.2857143,87.41428571
10,100.9375,98.64444444,96.825,104.5666667,97.77777778,85.17777778,89.8125,89.8125,74.92222222,71.65,98.575,116.675,108.325,93.9,95.8125,116.2777778,103.0875,99.2375,109.3375,99.15,102.625,74.9875,110.35,76.31111111,71.77777778,73.2375,90.825,100.7666667,115.7875,95.17777778,109.6,86.275
11,99.57777778,98.64444444,97.04444444,101.84,97.86,81.77,88.32222222,88.67777778,74.92222222,67.83333333,95.4,115.7222222,106.4444444,95.18888889,92.13333333,116.2777778,101.2222222,98.97777778,106.2,100.0111111,102.4111111,79.35555556,109.5777778,78.77,71.77777778,73.18888889,93.04444444,97.55,109.2555556,98.06,106.6888889,86.6
12,99.84,93.63,94.82,101.84,96.03636364,81.77,88.56,88.43,77.83,68.62,94.35,115.22,107.99,96.39,84.47,114.93,102.75,99.06,107.55,96.17,106.18,81.68,109.51,78.77,72.66,73.4,92.71,97.55,110.31,94.82727273,106.43,86.25
13,96.85454545,91.96363636,88.82727273,100.6181818,94.25833333,81.12727273,86.65454545,91,78.41818182,68.62,93.49090909,116.7727273,111.8454545,95.34545455,85.58181818,115.8181818,100.2727273,94.86363636,104.1454545,96.32727273,107.0454545,76.4,103.4818182,79.27272727,70.69090909,73.43636364,91.64545455,95.70909091,109.6363636,94.93333333,106.6,86.01818182
