Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,109.9,96.9,79.1,80.7,88,85.2,95.4,89,91.9,89.8,99.6,82.8,98.4,98,93.9,82.8,96.7,86.8,103.8,101.9,86.4,62.8,88.7,101.4,88,91.7,79.7,83.7,86.7,90,88.1,102.5
2,103,143.1,65,75.3,107.5,77.2,75.1,152.1,79.4,97.9,104.2,118.6,123.3,142.3,88.7,84.5,66.1,92.5,98.8,100.7,127.5,44.6,78.4,79.2,104.6,82.5,117.8,78.1,98.5,96.5,95,72.5
3,95.65,126.25,77.25,87.8,93.9,73.05,92.85,121.5,102.85,98.3,105.9,104.8,118.6,79.1,117.2,89.45,78.5,74.5,94.95,123.7,112.6,88.35,99.65,78.6,122.5,112.3,101.35,84.3,96.55,89.85,93.85,80.4
4,103.4333333,115.9,96,95.73333333,91.93333333,71.26666667,97.06666667,100.6,112.1333333,104.1333333,94.7,112.4666667,112.8333333,68.4,122.5666667,84,90.16666667,92.63333333,87.9,108.8,101.3333333,98.7,108.0666667,88.7,123.5333333,95.8,104.4666667,76.06666667,95.56666667,83.56666667,94.7,92.7
5,102.2,123.8,94.6,98.625,98.125,75.175,95.9,103.675,109.1,95.725,100.125,107.45,116.4,70.4,117.2,77.85,96.875,95.25,94.875,109.7,103.675,102.425,104.625,82.95,109.55,90,104.4666667,77.4,88.275,97.15,94.7,96.475
6,98.22,122.9,88.96,104.76,91.22,77.48,91.1,95.04,103.4,95.725,100.125,107.45,111.92,70.86,115.58,87.62,95.02,92.9,92.6,104.56,103.08,102.425,108.24,80.5,108.32,97.08,97.275,92.82,89.18,94.46,90.425,99.52
7,92.81666667,117.4833333,88.25,108.7,87.71666667,72.96666667,93.48333333,96.01666667,101.7833333,86.9,94.2,106.94,113.7,72.1,109.7166667,85.25,95.02,98.13333333,92.6,95.46666667,108.6666667,88.92,108.24,83.3,105.8166667,96.31666667,88.8,89.35,89.18,84.61666667,100.12,95.41666667
8,91.61428571,116.2142857,88.25,97.61428571,92.1,77.98571429,96.2,101.6714286,103.1142857,90.28333333,96.01666667,108.15,116.3714286,72.1,109.9428571,81.31428571,95.3,93.65714286,98.33333333,95.46666667,108.6666667,87.35,111.5833333,84.41428571,103.5571429,95.68571429,91.48333333,82.25714286,91.73333333,86.45714286,94.66666667,86.94285714
9,91.61428571,112.275,90.11428571,95.55,91.2875,81.9625,95.775,99.875,97.875,90.11428571,99.94285714,112.4285714,116.3714286,75.64285714,109.9428571,79.975,95.17142857,91.9875,93.2,91.24285714,108.9857143,84.22857143,108.8857143,87.125,108.6625,91.8,87.81428571,88.0125,96.97142857,85,96.38571429,86.94285714
10,95.45,108.4555556,86.7,95.44444444,94.66666667,84.51111111,95.775,99.875,99.64444444,92.8625,105.1625,109.2125,113.1,78.375,109.825,82.56666667,96.7875,91.9875,94.7875,98.65,104.5875,89.7875,100.325,86.14444444,107.5888889,91.8,85.9125,94.58888889,102.1625,90.57777778,96.7625,87.85
11,93.43333333,108.4555556,89.76666667,94.77,97.6,86.13,97.36666667,98.93333333,99.64444444,91.55555556,103.3888889,104.0444444,109.3777778,78.93333333,109.6333333,82.56666667,97.91111111,88.1,88.4,97.27777778,98.64444444,90.78888889,96.8,84.81,107.5888889,92.81111111,84.85555556,95.47,101.5777778,91.38,97.73333333,92.28888889
12,96.07,108.5,91.2,94.77,95.09090909,86.13,95.94,97.66,103.69,88.59,100.83,104.36,108.7,82.11,107.64,86.28,96.18,85.54,89.84,95.12,99.18,93.87,91.97,84.81,108.48,91.06,77.92,95.47,101.64,92.14545455,95.44,92.13
13,89.48181818,106.3454545,90.27272727,93.01818182,96.80833333,90.32727273,94.88181818,97.57272727,101.8727273,84.46363636,105.3363636,101.6636364,106.5363636,84.49090909,108.4636364,87.17272727,95.47272727,84.79090909,88.51818182,91.10909091,96.95454545,91.42727273,91.97,83.24545455,107.5181818,92.13636364,73.46363636,91.6,99.10909091,94.85833333,94.48181818,91.46363636
