"","Week","Arizona","Atlanta","Baltimore","Buffalo","Carolina","Chicago","Cincinnati","Cleveland","Dallas","Denver","Detroit","Green.Bay","Houston","Indianapolis","Jacksonville","Kansas.City","LA.Chargers","LA.Rams","Las.Vegas","Miami","Minnesota","New.England","New.Orleans","NY.Giants","NY.Jets","Philadelphia","Pittsburgh","San.Francisco","Seattle","Tampa.Bay","Tennessee","Washington"
"1",1,57.7,59.6,83,49.4,58.56,41.5,60.22713364,54.4,71.9,49.8,71.3,52.5,70.5,50.5,44.6,77.7,60.22713364,50.6,64.1,68.3,60.4,53.2,73.3,55.7,45.6,62.8,69.6,60.8,71.5,55.7,64.2,36.8125
"2",2,80.2,64.9,95.8,61.2,71.8,52.7,19,39.9,80.7,63.6,50.8,94.3,45.1,42.9,79.1,87.9,26.7,38.9,63.8,57.8,67,79,76.5,67.8,19,20.6,61.3,36.7,86.6,34.9,79.4,45.9
"3",3,85.05,76.5,79.85,78.7,55.65,52.95,50.5,69.1,82.5,63.95,54.45,91.25,51.45,40,78.7,86.3,48.85,67.6,71.45,63.45,38.55,76.8,67.3,54.65,46.4,34.65,51.5,68.05,85.65,40.35,83.2,27.85
"4",4,71.1666666666667,63,63.5666666666667,82.3666666666667,58.1,56,51.9333333333333,70.7666666666667,80.8666666666667,48.7,57.1666666666667,90.8666666666667,63.1666666666667,55.6333333333333,67.3,90.3666666666667,45.7666666666667,70.8333333333333,62.9,74.5666666666667,44.3,57.9666666666667,74.8,53.2333333333333,34.7,39.9333333333333,52.1,45.8333333333333,85.5,44.9333333333333,74.0333333333333,29.9333333333333
"5",5,67.45,67.775,71.525,84.825,66.775,50.65,51.475,68.95,79.875,50.25,62.575,92.45,57.5,62.025,60.075,80.95,55.6,67.975,69.55,72.4,50.4,50.3,77.6,52.95,44.95,49.05,52.1,54.675,83.475,55.475,74.0333333333333,31.625
"6",6,68.08,58.9,69.1,81.4,71.42,49.08,42.28,72.04,77.08,50.25,62.575,92.45,61.24,57.9,61.44,79.22,60.28,72.12,73.6,77.76,53.14,50.3,76.26,54.92,49.04,57.08,60.275,58.04,81.46,55.34,79.9,40.24
"7",7,70.8166666666667,64.65,72.2,81.7666666666667,64.35,51.85,48.65,61.45,69.3833333333333,47.18,68.6,76.68,66.75,61.4833333333333,56.4666666666667,80.2166666666667,60.28,66.3,73.6,70.45,49.5,44,76.26,60.3,42.8333333333333,53.55,59.04,63.85,79.6166666666667,62.2333333333333,80.9,46.0166666666667
"8",8,68.9714285714286,67.7714285714286,72.2,78.2285714285714,67.6142857142857,50.5571428571429,54.0714285714286,66.6142857142857,60.6428571428571,48.9333333333333,70.65,78.5666666666667,67.3428571428571,61.4833333333333,52.5571428571429,75.8571428571429,63.8333333333333,67.4285714285714,74.7,70.45,49.5,37.2166666666667,78.0833333333333,63,39.3857142857143,54.2571428571429,58.2166666666667,64.9428571428572,79.6166666666667,66.0142857142857,80.4,49.2142857142857
"9",9,68.9714285714286,70.375,63.9857142857143,73.4875,65.025,51.325,57.1875,63.2625,55.65,55.4285714285714,65.0714285714286,77.8428571428572,67.3428571428571,64.8857142857143,52.5571428571429,77.525,67.2428571428571,60.15,71.8142857142857,64.4714285714286,54.5428571428571,40.0142857142857,77.8142857142857,63,38.8,51.075,61.2428571428571,68.95,80.9142857142857,68.4,75.8714285714286,49.2142857142857
"10",10,72.4625,73.1666666666667,65.0875,74.0888888888889,67.4888888888889,50.0222222222222,57.1875,63.2625,56.8111111111111,58.2375,63.4625,80.4875,67.45,60.425,56.1875,78.0333333333333,64.15,60.15,72.4625,67.3,58.1,46.1625,80.425,62.25,45.2,51.075,63.025,63.1111111111111,79.475,61.3111111111111,71.575,47.4375
"11",11,71.1888888888889,73.1666666666667,65.0111111111111,73.83,67.99,46.4,56.2333333333333,60.9555555555555,56.8111111111111,55.9111111111111,65.1111111111111,76.6,66.1,62.2666666666667,53.4777777777778,78.0333333333333,61.5888888888889,59.2111111111111,71.5777777777778,67.3666666666667,61.2555555555556,49.2444444444444,79.5444444444444,61.4,45.2,49.6,64.5444444444445,62.29,74.1333333333333,64.36,68.4555555555556,50.6
"12",12,70.5,67.78,62.57,73.83,64.4545454545455,46.4,54.14,57.34,59.29,57.89,60.91,76.57,68.13,62.88,49.38,79.29,64.33,61.83,73.93,64.09,62.89,49.31,78.39,64.48,43.4,46.67,65.06,62.29,71.08,63.5272727272727,69.7,49
"13",13,69.0454545454545,64.5363636363636,59.5090909090909,70.1090909090909,63.5083333333333,46.3636363636364,50.2090909090909,60.1818181818182,60.6090909090909,57.89,59.4272727272727,78.4090909090909,70.1,61.7909090909091,49.2363636363636,80.3545454545455,62.6909090909091,57.1181818181818,68.5090909090909,63.4181818181818,64.2454545454545,45.4272727272727,74.3181818181818,66.3181818181818,41.1,47.6181818181818,64.8545454545455,60.7818181818182,72.1818181818182,63.25,71.3272727272727,46.4727272727273
