Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,124.4,85.1,204.8,130.9,113.7,91.1,94.8,118.8,134.6,103.9,103.1,109.2,124.7,133.1,106.8,101.5,90.8,93.7,118.3,72.2,127.2,105.9,107.9,105.3,78.6,121.1,90.4,153.5,131.9,95.1,143.5,98.9
2,180,72,111,98,129,149,122,138,136,107,138,158,118,88,91,166,155,153,133,87,134,217,82,29,52,57,141,123,84,86,130,80
3,170,92.5,170.5,105,108,142,95,176.5,130.5,105.5,113.5,208.5,84.5,119.5,128,145.5,169,172,124.5,93,107,142,97,52,78,89,125,152.5,119,104,126.5,98.5
4,149.6666667,109.6666667,166.3333333,103.6666667,99,138,79.33333333,170.3333333,107.3333333,84.33333333,105.6666667,171.6666667,66,119.3333333,109.3333333,141,151.6666667,170.3333333,125,108,146.6666667,178,105.3333333,56.66666667,88.33333333,117.6666667,139.6666667,132.6666667,118.3333333,92,129,100
5,144.5,101.75,160.75,93.5,116.25,110.5,110.75,204.5,101.75,92.5,101.75,150.75,73.5,115.25,104.25,129.25,125.25,142.25,115.25,106.75,150.5,179.75,120,76.5,98.5,111.5,139.6666667,128.5,113.25,97.75,129,92.25
6,141,114.6,160.8,93.8,117.8,95.4,102.6,188.4,106.6,92.5,101.75,150.75,84.6,105.8,98.4,119.4,122.4,139.6,121,104.2,160.6,179.75,115,79,103.4,108,138.75,129,115.4,99.4,131.5,81.4
7,161,112,164.3333333,92.16666667,116.8333333,90,101.8333333,169.5,105,101,117.4,139.4,85.83333333,98,89.33333333,140.3333333,122.4,135.1666667,121,105.1666667,139.1666667,167.2,115,87.83333333,105.3333333,122.3333333,136.8,127.8333333,115.4,109.1666667,157.8,82.16666667
8,160.7142857,105.4285714,164.3333333,97,105.4285714,84.14285714,98.85714286,157,101.8571429,113.6666667,108.5,132.1666667,84.85714286,98,96.57142857,134.7142857,124.5,138.7142857,113.5,105.1666667,139.1666667,155,118.8333333,98.14285714,104.5714286,118.5714286,129.6666667,137.7142857,129.5,105.7142857,145.1666667,100.1428571
9,160.7142857,108.625,178.7142857,108.625,110.625,85.625,101.25,150,105.75,112.8571429,97.14285714,128.8571429,84.85714286,101,96.57142857,124.125,136.7142857,137.75,127.1428571,98,144,159.7142857,119.2857143,98.5,103.125,118.625,118,127,125.4285714,102.625,155.5714286,100.1428571
10,162.875,106.7777778,170.125,100.3333333,109.8888889,82.33333333,101.25,150,110,111.625,101.125,126.625,87.625,102.375,98.875,114.3333333,135.625,137.75,131.25,97.125,160.375,159.625,121.625,106,98.88888889,118.625,109,119,116.875,92.11111111,147.625,92.25
11,168.8888889,106.7777778,164,97.6,105.4,78.2,105.4444444,159,110,106.5555556,101.5555556,121.4444444,87.88888889,105.7777778,100,114.3333333,131.5555556,134.2222222,139.2222222,98.66666667,153.5555556,161.1111111,120.7777778,110.5,98.88888889,122.7777778,101.7777778,112,116.4444444,103.9,148.6666667,91.88888889
12,157.7,101.3,160.5,97.6,106.3636364,78.2,101.9,156.8,117,114.8,95.4,115.9,84.6,109.2,97.3,113.7,121.3,124.5,134.2,94.4,150.7,153.6,125.5,110.5,98.6,121.1,102.2,112,121.3,98.27272727,151.1,99.1
13,155.9090909,103.4545455,157.6363636,104.3636364,106.4166667,82.09090909,96.27272727,161.3636364,111.8181818,113.4545455,96.63636364,121.9090909,83.90909091,104.3636364,101.1818182,111.2727273,117.1818182,124.6363636,125.6363636,95.27272727,145.7272727,149.6363636,134.9090909,113.3636364,97.54545455,117,99.09090909,112,116.6363636,96.33333333,158.1818182,106.6363636
