Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,120.1,110.9,100.6,105.3,143.5,102,148.9,144.7,103.5,111.4,115.9,128.7,123.7,97.9,139.3,124.8,112.8,113.1,98.1,135.4,111.7,101.7,93.9,113.2,86.9,88.6,109.6,106,117.3,73.8,108.8,146.2
2,123,84,138,52,133,138,155,111,153,130,149,134,166,91,88,118,122,136,129,217,158,87,86,141,98,80,29,180,72,82,107,57
3,120,104.5,94.5,75.5,127.5,106.5,185,89.5,133,119.5,204,111.5,198,85.5,105.5,150.5,123.5,128.5,120.5,164.5,154.5,120.5,101,138,140,135.5,66.5,142,69.5,84.5,136,108.5
4,110,113,107,106,124,119,181.6666667,94,127.6666667,102.3333333,172.3333333,115,188.3333333,93.33333333,116.3333333,153,109.3333333,119.3333333,163.6666667,133.6666667,147.6666667,122.3333333,100,123,133,106.3333333,54,116.6666667,66.66666667,70.33333333,166,125
5,124.5,106.75,97.5,101,125.25,115,158.5,91.75,172.5,109,170.25,105.75,181.75,77,138.5,161,110.75,123.5,138.5,124.75,134.75,115.25,97.5,106.75,129,108.75,54,110.75,75.75,64.25,166,129.75
6,124.2,110.2,92,108.6,133.4,113.2,159,87,155.8,109,170.25,105.75,160.4,86.4,136.6,157.6,107.6,106.4,126.8,126,132.6,115.25,100.2,110.6,128.6,114.2,64,107.4,100.8,58.4,148.25,129.6
7,119.6666667,97.16666667,109,131.3333333,121.6666667,113,142.3333333,94,173.3333333,110.6,145,116.2,177.5,88.33333333,143.8333333,145.3333333,107.6,109,126.8,124.1666667,127,119.2,100.2,106.5,125.5,125.5,66.2,108.3333333,100.8,64.33333333,137,130
8,131.1428571,92.42857143,109,126.8571429,124,119.7142857,133.7142857,92.14285714,178.2857143,109,131.8333333,110,165.8571429,88.33333333,142.5714286,149.8571429,113,100.4285714,119.8333333,124.1666667,127,132.1666667,89.66666667,105,125.5714286,130.4285714,68.83333333,106.2857143,110.5,66,129.8333333,123.2857143
9,131.1428571,99.25,100.2857143,134.5,124.875,120,144.25,106.75,170.875,123.4285714,130,119,165.8571429,79.85714286,142.5714286,142.75,112.2857143,94.75,117.1428571,125.1428571,124.4285714,140.4285714,90.57142857,102,116.125,130.75,96.85714286,105.625,102.1428571,70.375,128.1428571,123.2857143
10,126.125,99.66666667,101.75,125.8888889,115,116.8888889,144.25,106.75,157,119.5,148.125,111,159.5,83.625,138.125,138.4444444,118.25,94.75,118.5,131.75,125,131,80.25,94.77777778,120.8888889,130.75,102.75,106.2222222,93.625,77.88888889,119.125,128.625
11,120.2222222,99.66666667,109.6666667,135,124.5,115.1,133.1111111,104.8888889,157,128.7777778,141.5555556,110.7777778,167.4444444,91.77777778,131.6666667,138.4444444,117.4444444,96.77777778,112.6666667,128.1111111,115.6666667,129.2222222,76.77777778,100.9,120.8888889,133,106.7777778,107,95,76.6,120.6666667,126
12,124.7,106.3,116,135,116.8181818,115.1,136.2,105,153.8,121.5,139,113.7,159.3,89.2,129.1,133.5,115.3,91.3,112.2,134.2,122.1,121.8,74.3,100.9,111.7,133.4,103.4,107,91.2,73,121.5,120.4
13,123.3636364,100.2727273,111.6363636,129.6363636,115.0833333,121.1818182,127.4545455,108.1818182,156.3636364,131.2727273,133.3636364,114.3636364,154.7272727,101.9090909,136.1818182,128.1818182,120.4545455,93.18181818,113.3636364,129.9090909,120.7272727,123.2727273,76.63636364,95.36363636,111,127.6363636,105.7272727,108.7272727,89.81818182,74.16666667,115.5454545,114.9090909
