Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,341.7,379.7,414.8,335.7,341.8,296.8,323,340.9,431.5,298.6,346.9,346.1,366.4,327.3,341.8,384.3,367.4,374.9,363.7,310,342.5,351.2,370.9,338.5,273,356.1,276.7,374.2,374.9,397.9,351.2,274.7
2,404,506,381,404,388,363,295,306,380,323,426,522,360,445,241,369,362,422,372,269,382,357,271,291,254,265,349,366,383,310,377,239
3,421,443,394,463.5,407.5,333.5,324,370,475,321,366.5,505,332,399.5,360.5,391.5,420.5,435.5,374.5,339.5,278.5,410.5,347.5,293,265.5,314,379.5,362.5,406,324.5,365.5,277.5
4,406.3333333,419,338.6666667,434,372.3333333,368,317.3333333,346.6666667,490.6666667,289.3333333,351.6666667,459.6666667,308,384,346.3333333,433.3333333,425.6666667,449.6666667,374.6666667,324.3333333,340.3333333,409,364,272.3333333,263.6666667,336.3333333,382,381.6666667,408,334,391.6666667,288
5,370.25,396,341.5,409.75,390.25,343.25,364.25,387,509.5,306.75,334,445.5,327.5,360.25,367,405.75,400.25,397.25,376.75,347,357.75,396,371,278,278,319,382,390.5,416.25,371.5,391.6666667,301.75
6,395.4,391.4,339.6,401.8,399.6,323.2,332.4,386.6,488,306.75,334,445.5,359.2,349.8,366.4,407.2,390.2,403.6,399.4,364.8,376,396,378.4,282.4,279.4,322.4,378.25,364.2,395.8,365,377.25,263
7,402.5,403.1666667,342.1666667,369.1666667,383.5,312.8333333,343.3333333,358.8333333,464,305.2,347.8,396.6,368,363.1666667,351.1666667,417,390.2,388.1666667,399.4,354.3333333,374.1666667,374.4,378.4,275.3333333,276.6666667,329.3333333,358,368.5,395.8,358.1666667,423.2,275.3333333
8,419.1428571,401,342.1666667,376.7142857,369.1428571,308,361.1428571,364.4285714,418,322.8333333,354.1666667,393.6666667,367.5714286,363.1666667,343,398.2857143,405.8333333,385.7142857,390.6666667,354.3333333,374.1666667,352.1666667,384.5,282.4285714,264.4285714,345.4285714,358.6666667,382.5714286,425.1666667,371.8571429,401.3333333,292.7142857
9,419.1428571,401,358.5714286,372,361,310.625,361.875,346.75,398.875,326.8571429,350.1428571,394.5714286,367.5714286,363.5714286,343,410.5,417.1428571,396.375,379,324.4285714,367,351.7142857,385.8571429,291.75,259,330,339,378.625,414.4285714,368.375,407,292.7142857
10,422,396.7777778,347,377.3333333,369.2222222,317.7777778,361.875,346.75,395,336.625,359,395.875,368.375,360.5,350.5,409,420,396.375,371.625,322.875,382,361.875,390.125,298.2222222,266,330,341,374,415,349,384.625,306.375
11,425.4444444,396.7777778,348.1111111,376.5,351,300.9,357.6666667,347.7777778,395,334,360.4444444,395.7777778,354.4444444,368.2222222,340.4444444,409,403.6666667,395.5555556,370,318.1111111,382.3333333,355.8888889,373.1111111,306.6,266,331.7777778,345,364.7,405.8888889,368.5,374.5555556,323.8888889
12,414.3,381.9,343.9,376.5,353.0909091,300.9,349.1,345.4,393.1,346.5,342.9,392.9,358.9,373.4,327,414.1,400.9,397.3,369.4,308.6,387.1,363.8,373.6,306.6,268.6,330.1,347.8,364.7,400,358.4545455,379.4,324
13,403.7272727,374.8181818,332.5454545,372.4545455,354.8333333,305.3636364,331.4545455,355.7272727,379.8181818,325.1818182,347,392.9090909,361.1818182,370,331.3636364,425.8181818,397.8181818,389.1818182,357.9090909,311.9090909,395.8181818,347,366.1818182,313.8181818,267.8181818,323.3636364,346.5454545,362.9090909,390.4545455,363.3333333,385.7272727,325.2727273
