Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,402,355.8,300.5,301.9,374.5,324.1,393.7,361.6,327,337,400.3,354,392.9,346.8,375.4,351.7,313,339.7,354.8,397.8,338.7,275.6,334.7,377.3,323.1,334.7,304.2,284.8,374,343.9,368.1,385.1
2,366,383,306,254,372,426,362,381,422,377,363,382,369,241,445,360,295,380,388,357,522,269,310,349,196,239,291,404,506,271,323,265
3,341,476.5,305,332,355.5,360.5,398,367,401,393.5,425.5,344.5,388,208,399.5,419.5,354.5,371.5,406,440,438,349,343.5,326.5,280,344,305,340.5,485,349,401.5,351.5
4,334.6666667,463.3333333,375.6666667,380.6666667,382.3333333,364,392.3333333,347.6666667,404.6666667,380,409.3333333,362,387.6666667,225.3333333,364.3333333,355.6666667,337,372.6666667,406,399.3333333,440,357.6666667,352,357.6666667,266,330.6666667,290,304,497.3333333,308,422.3333333,334.3333333
5,362,448.25,367.5,381.25,352.25,345.25,401.5,402.25,430.5,365.25,405,353.25,393.25,236.25,399.5,356,373.75,353.25,388.75,409.75,426.5,349,334.25,328.25,258,352.25,290,294.75,476.75,312,422.3333333,338.25
6,346.6,446,335,371.8,356.4,344,387.6,383.4,404.4,365.25,405,353.25,387.4,266,416.8,382.8,380.6,304.2,393.6,379.6,404,349,337.4,343,257.2,355.2,301.5,323,471.2,298.2,409.25,356.4
7,346.1666667,432.5,339.8333333,387.5,340.5,337.1666667,394.6666667,365.6666667,410,349.8,379,347.4,424,288,414.5,353.3333333,380.6,318.5,393.6,360.1666667,413.6666667,339,337.4,342,251,355.1666667,285.2,321,471.2,282,409.8,337
8,378.4285714,425.8571429,339.8333333,359.4285714,351.1428571,342,395.1428571,380.2857143,408.1428571,339.1666667,380.5,350.3333333,417.5714286,288,424.4285714,361.5714286,366.1666667,312.8571429,403.6666667,360.1666667,413.6666667,360.3333333,328.3333333,356.2857143,251.1428571,350.8571429,286.3333333,309.5714286,479.1666667,291.2857143,401.8333333,309.1428571
9,378.4285714,410.625,322.8571429,358.125,357.375,348.5,400.875,371.375,384.875,360,378.4285714,346.5714286,417.5714286,293.4285714,424.4285714,344,364,291.875,377.8571429,376,411.7142857,357.2857143,328.4285714,354.75,232.25,340.125,310.7142857,314.625,460.8571429,299.5,396.8571429,309.1428571
10,370.125,410,324.875,364.8888889,361.7777778,335.1111111,400.875,371.375,381.5555556,360.375,392,345.375,415.75,290,418.125,354.1111111,358.5,291.875,385.625,384.25,412.875,352.875,311.625,360,241.7777778,340.125,317.375,324.6666667,455.75,312.8888889,394.125,314.25
11,370,410,323,373.7,380,340.1,398.2222222,357.1111111,381.5555556,360,400,335.8888889,409.1111111,290.4444444,415.5555556,354.1111111,349.7777778,296.4444444,377.5555556,371.8888889,383.5555556,353.3333333,308.2222222,358.6,241.7777778,344.7777778,318.1111111,315.9,448.3333333,300.3,398.1111111,320.6666667
12,367.7,406.6,333,373.7,362.2727273,340.1,390.9,352.9,386.4,346.3,397.4,344.3,411.7,298.1,411.3,355.1,344,292.6,385.8,380.6,382.8,357.9,302.2,358.6,223.4,342.7,306.9,315.9,434.9,310.5454545,388.9,315.8
13,351.9090909,392.8181818,333.0909091,375.3636364,365.6666667,344.9090909,378.3636364,354.9090909,381.3636364,342.7272727,397.1818182,346,411,311.9090909,416.1818182,361,342.6363636,299.0909091,378.9090909,371.8181818,382,353.3636364,284.9090909,342,235.9090909,338.8181818,298.9090909,316.6363636,421.8181818,330.4166667,385.4545455,312.0909091
